sentiment,text
neutral,"Finnish investor Scanfil Oyj ( HEL : SCF1V ) said last Friday it has bought 57 million shares , or 32.96 % , in Norwegian contract electronics manufacturer Kitron ASA ( OSL : KIT ) for NOK 143.9 million ( USD 24.4 m-EUR 18.1 m ) ."
positive,"By combining its existing solutions into a single platform , Comptel said that it has reduced the cost of deployment ."
positive,`` We 've been feeling quite positive about the region as a whole .
negative,"Based on the first quarter result , existing order backlog and new order prospects , the company expects that full-year sales will contract by 25 % from 2008 , the gross margin will stay at a healthy level , and the operating profit margin will be lower than in 2008 due to lower sales volume ."
neutral,"Unbelievably , the company that makes them - Fiskars Corporation - was formed in 1649 when a Dutch merchant named Peter Thorwoste was given a charter to establish a blast furnace and forging operation in the small Finnish village of Fiskars ."
neutral,These restrictions do not apply to statutory dividends .
neutral,"The company 's objective is to offer the best people flow experience by developing and delivering solutions that enable people to move smoothly , safely , comfortably and without waiting in buildings in an increasingly urbanizing environment ."
neutral,"Olvi 's target is to strengthen its market share in soft drinks , mineral waters , ciders , long drinks , and energy drinks ."
positive,Finnish KCI Konecranes has been awarded an order for four hot metal ladle cranes by Indian steel producer Bhushan Steel & Strips to be delivered in 2007 .
neutral,"Ahlstrom 's 5,700 employees serve customers via sales offices and production facilities in more than 20 countries on six continents ."
negative,Profit for the period fell to EUR 1.6 mn from EUR 7.5 mn in January-September 2008 .
positive,1 November 2010 - Finnish textile and clothing company Marimekko Oyj ( HEL : MMO1V ) announced on Friday the opening of its first concept store in Seoul in cooperation with Japanese sector player Look Inc ( TYO : 8029 ) .
positive,"When the situation normalises , the company will be able to increase the amount of residential units for sale in St Petersburg and Moscow , in particular ."
positive,"Via the takeover , Panostaja further expands its business area specialising in digital printing , which since previously consists of the subsidiaries Kopijyva Oy and Sokonet Oy ."
positive,"4 February 2011 - Finnish broadband data communication systems provider Teleste Oyj HEL : TLT1V saw its net profit jump to EUR2 .1 m for the last quarter of 2010 from EUR995 ,000 for the same period of 2009 ."
neutral,Rosen was cautious about being too optimistic inregard to the second half of the year .
positive,"Profit for the period was EUR 9.8 mn , up from EUR 6.0 mn in 2004 ."
positive,Sports equipment sales also progressed well owing to the prolonged winter season .
neutral,"The biggest sellers in the chain 's supermarkets in Finland are organic Pirkka tomatoes , carrots , eggs , and meat products ."
negative,The air traffic of Finland has been in stoppage since then .
neutral,"The parties have agreed not to disclose the price of the deal , the group said in a press release ."
positive,"26 January 2011 - Finnish metal products company Componenta Oyj ( HEL : CTH1V ) said yesterday its net loss narrowed to EUR500 ,000 in the last quarter of 2010 from EUR5 .3 m for the same period a year earlier ."
neutral,"The estimated value of the contract is EUR12 .4 m. Vaisala , headquartered in Helsinki in Finland , develops and manufactures electronic measurement systems for meteorology , environmental sciences , traffic and industry ."
positive,"HELSINKI ( AFX ) - Metso said it will upgrade one of UPM-Kymmene 's four paper machines at the latter 's mill in Jaemsaenkoski with a new coating color supply system , machine and process controls and quality measurements ."
negative,The situation of coated magazine printing paper will continue to be weak .
negative,"The OMX Helsinki index was down 0.34 pct at 8,256.02 on turnover of 813.191 mln eur ."
negative,Finnish sports equipment company Amer Sports said it has decided to lay off 370 workers from its Salomon division in France .
negative,"Net sales of Kyro 's main business area , Glaston Technologies , a manufacturer of glass processing machines , decreased to EUR 161.5 mn from EUR 164.1 mn in January-September 2005 ."
positive,Certain shareholders have irrevocably agreed to vote in favor of the bond issue .
positive,"For the first nine months of 2010 , Talvivaara 's net loss narrowed to EUR 8.3 million from EUR 21.9 million for the same period of 2009 ."
neutral,"s NASDAQ OMX : GEO1V , GyPSii business unit , developers of the award-winning GyPSii mobile social networking application , today announced its availability as a free download via the Samsung Mobile Applications Store ."
positive,"Also , it is bringing in `` the right kind of people '' to upgrade its human resources ."
positive,"SRV will raise its holding in the company so that by the summer of 2008 , it will have a majority ."
positive,FINANCING OF ASPOCOMP 'S GROWTH Aspocomp is aggressively pursuing its growth strategy by increasingly focusing on technologically more demanding HDI printed circuit boards PCBs .
positive,The pretax profit of the group 's life insurance business increased to EUR 36 million from EUR 27 million .
negative,"The total headcount reduction will be 50 persons , the company said ."
neutral,"Helsinki 19 May 2010 - Finnish company Lemminkainen Oyj ( HEL : LEM1S ) said today that it will construct an office building at Toolonlahti in downtown Helsinki , without disclosing financial details ."
negative,"Operating loss of the Pulp & Paper Machinery unit was over EUR 3mn in September 2007 - August 2008 , compared to a profit of EUR 3.7 mn a year earlier ."
negative,Sales by Seppala diminished by 6 per cent .
neutral,"The product range includes marinated olives , cold cuts , and pates , for example ."
neutral,"The contract , which was signed yesterday , will run for five years and includes a two-year extension option ."
negative,"Net cash flow from operating activities was a negative EUR 3.1 mn , compared to EUR 23.3 mn in the corresponding period in 2009 ."
positive,Diluted earnings per share ( EPS ) rose to EUR 0.29 from EUR 0.05 .
neutral,Storengy is the GDF SUEZ company that is dedicated to the underground storage of natural gas .
neutral,"Jun. 14 , 2009 ( AOL Weblogs delivered by Newstex ) -- Looks like the E71 is about to be upstaged as Nokia 's ( NYSE : NOK ) premier business-class smartphone -- someone in Espoo 's just hit the corporate YouTube account with this promo video for an E72 ."
negative,Operating profit fell to EUR 23.26 mn from EUR 32.86 mn .
positive,"Dubbed Nokia Money Solutions , company officials say the initiative would seek to bridge the gap between the banked and unbanked in developing countries ."
neutral,"Latin America currently accounts for approximately 40 % of sales at Finnish BSS-OSS and VAS supplier for telecoms operators Tecnotree , company president and CEO Eero Mertano told BNamericas ."
neutral,News Corp. 's MySpace.com Web site will display submissions for the expanded Broadband Emmy Awards as part of an effort to identify aspiring video artists .
neutral,"SRV will also build an aqua park with wellness area , a restaurant and a multifunctional ice arena ."
negative,As a result of the negotiations the employment of 130 blue - and white-collar employees at the Oulu plant would be terminated .
neutral,"`` Of course , we are in talks with all those coming up with new projects that involve material handling , '' Konecranes President and CEO Pekka Lundmark said , when asked whether it was talking to Reliance Industries for supplying equipment to its upcoming refinery in Jamnagar ."
neutral,"In Finland , the launch of tie-in sales of 3G mobile phones did not cause a dramatic rush in mobile retail outlets during the first few days ."
positive,27 January 2011 - Finnish IT solutions provider Affecto Oyj ( HEL : AFE1V ) said today it has won a EUR1 .2 m ( USD1 .6 m ) contract from state-owned Lithuanian Social Insurance Institution ( SODRA ) .
neutral,"Finnish Kemira Group 's CEO , Lasse Kurkilahti , says the Group 's structural reorganisation will continue for at least a year ."
neutral,The electricity requirement of networks will grow with the new mobile generation .
positive,The offer represents a premium of 24 % over the stock 's closing price on Friday .
positive,"Finnish Metso will supply new wood handling and bleaching lines , as well as a rebuild of the kraft liner washing line for Klabin 's Tel+�maco Borba mill in the Brazilian state of Paran+� ."
negative,"Konecranes has previously communicated an estimated reduction of about 1,600 employees on group level in 2009 ."
negative,"It generated an operating loss of EUR 96.3 mn , down from a profit of EUR 43.9 mn ."
negative,Operating profit fell to EUR 38.1 mn from EUR 55.3 mn in 2007 .
positive,Finnish pharmaceuticals company Orion 's net sales rose to EUR 190mn in the first quarter of 2009 from EUR 180mn in the first quarter of 2008 .
neutral,"`` This transaction supports Huhtamaki 's strategic review of rigid plastic consumer goods operations '' , says Huhtam+�ki Oyj 's CEO Jukka Moisio ."
positive,"The launch of the plant in June went well , and it has been producing the advanced fuel for a couple of weeks ."
positive,ABB Deutsche Bank upgraded its recommendation on Swiss-Swedish engineering group ABB Ltd. to ` Buy ' from ` Hold ' .
neutral,"SDM offers general rental equipment , aluminium scaffolding , power generator and hoists to customers in the construction sector ."
negative,The first ship has been delayed and is estimated to be completed in spring 2010 .
neutral,The Insolvency Act regulates the amount of debt that borrowers are permitted to write off .
positive,Vacon 's cash flow from operations grew to EUR 37.1 mn from EUR 21.9 mn a year ago .
negative,"UPM said the move will lower net profit by  x20ac 385 million US$ 520 million in the second quarter , mainly due to impairment charges ."
neutral,"A coker crane will be supplied to Tesoro Corporation 's Golden Eagle Refinery in Martinez , California , while a similar crane will be delivered to BP 's Castell refinery in Spain ."
positive,`` I warmly welcome Michael Frei to Outotec .
negative,"Due to market conditions , the company will also temporarily lay off about 3,200 people at different sites ."
negative,Finnish forest machinery manufacturer Ponsse has issued a profit warning .
neutral,"Of the company 's net sales , 38 % was acquired in Finland , 21 % in other European countries , 40 % in Asia , and 1 % in the US ."
negative,"The operating loss amounted to EUR 0.8 mn , compared to a profit of EUR 3.9 mn a year earlier ."
neutral,COPYRIGHT AFX News and AFX Financial News Logo are registered trademarks of AFX News Limited
neutral,"Compared with the FTSE 100 index , which rose 51.5 points ( or 0.9 % ) on the day , this was a relative price change of -0.6 % ."
negative,Okmetic expects its net sales for the first half of 2009 to be less than in 2008 .
positive,The new policy was also aimed at making the companies more profitable and competitive .
negative,"The result will also be burdened by increased fixed costs associated with operations in China , and restructuring costs in Japan ."
neutral,"Linde acts responsibly towards its shareholders , business partners , employees , society and the environment - in every one of its business areas , regions and locations across the globe ."
